Dataset,FeatureGroup,AUC_mean,AUC_std,Recall@20%LOC_mean,Recall@20%LOC_std,Precision@20%LOC_mean,Precision@20%LOC_std
JM1,Halstead度量,0.6742936514229694,0.00849638002297842,0.08354430379746836,0.0105958852353145,0.5643175228322672,0.03249603674942663
JM1,全部度量,0.7099169934546293,0.009020084986463617,0.08338607594936709,0.009611609207903446,0.6181245000835969,0.0355833848320131
JM1,控制复杂度,0.6776870801014965,0.010902164887779368,0.08417721518987342,0.009546267803163519,0.5492645182585688,0.041994436167528224
JM1,规模度量,0.7176099365166325,0.007569507652383109,0.0680379746835443,0.006195854496028866,0.5866693515000876,0.05622757994769071
KC1,Halstead度量,0.7904606141522029,0.025924484715767596,0.1693877551020408,0.03233976686804004,0.6087250685483739,0.11413003706307259
KC1,全部度量,0.7971352279229449,0.02533644195443497,0.17653061224489797,0.02501792591623577,0.6152085607629086,0.11728723122782729
KC1,控制复杂度,0.730261300781995,0.024909680815814635,0.11836734693877551,0.010969058160950411,0.48734340297383777,0.0691943541227404
KC1,规模度量,0.789249475491131,0.017673725999256682,0.11326530612244898,0.011229642189945016,0.5453009417483102,0.04678009947060748
PC1,Halstead度量,0.7817040673211781,0.028578126399109744,0.19130434782608696,0.06859222936927091,0.3030066351776878,0.108018851718735
PC1,全部度量,0.8548457223001403,0.02761943712704782,0.2260869565217391,0.06080051293740009,0.2764767361794216,0.08548837918347098
PC1,控制复杂度,0.6687307152875175,0.05215143817186399,0.11739130434782608,0.03579446097167672,0.19656569307885097,0.0777037329563377
PC1,规模度量,0.7948316970546985,0.03214304979941879,0.24347826086956523,0.07446511639805872,0.35997662425294,0.1100977024053901
