Dataset,Model,AUC_mean,AUC_std,Recall@10%LOC_mean,Recall@10%LOC_std,Recall@20%LOC_mean,Recall@20%LOC_std,Recall@30%LOC_mean,Recall@30%LOC_std,Precision@10%LOC_mean,Precision@10%LOC_std,Precision@20%LOC_mean,Precision@20%LOC_std,Precision@30%LOC_mean,Precision@30%LOC_std
JM1,GaussianNB,0.6939958118278019,0.011152156631495597,0.04287974683544304,0.006521768963987187,0.08227848101265822,0.007643131195247594,0.1318037974683544,0.015341665679911645,0.47628870653381783,0.06415698347810805,0.4823436003770764,0.030841294478219764,0.48439245069633347,0.023745299279723683
JM1,LOC排序基线,0.7212417882510116,0.008729484665777597,0.02341772151898734,0.007956971377909749,0.0670886075949367,0.014658272787048923,0.1305379746835443,0.016898227155697044,0.6694234250037231,0.10662047131755654,0.5792435262366673,0.059671297729227066,0.5368347083432687,0.026857338052765318
JM1,复杂度加权,0.7016992072989053,0.009284765661092882,0.030696202531645567,0.0070446446654278475,0.07768987341772152,0.013742462841268744,0.14351265822784812,0.019889631421638396,0.6378804935494393,0.09552507867456543,0.541299138313536,0.04886153842449615,0.5038593829000739,0.028160514000365608
JM1,平衡Logistic,0.7172966345645551,0.009060999473675271,0.03259493670886076,0.01096742086967935,0.08607594936708861,0.014563075827360605,0.1485759493670886,0.01670284621963509,0.7123336941293426,0.08404717549055671,0.5994223657596551,0.024928848156829997,0.5336798911903927,0.03564533016257047
KC1,GaussianNB,0.7934579439252336,0.016201449673686554,0.0846938775510204,0.019271041461517407,0.1469387755102041,0.02414726442081476,0.20816326530612245,0.03508516179109558,0.601996336996337,0.1457000352072945,0.5823625858288527,0.09067983642525726,0.5478880795595287,0.08935208853821314
KC1,LOC排序基线,0.7897062750333779,0.0144366029222234,0.05102040816326531,0.022562073403778228,0.11020408163265305,0.022459284379890025,0.18061224489795918,0.01927104146151741,0.6253968253968254,0.27008398929236965,0.5709654037053418,0.10470778638891914,0.5254058304651283,0.0513661999001754
KC1,复杂度加权,0.7932424184627122,0.016342686186980208,0.05102040816326531,0.019241000848613538,0.11224489795918366,0.02151209292631551,0.20306122448979594,0.02740154294030317,0.44735986235986236,0.16640260590312,0.500029000366529,0.06945927453608648,0.5090413748920481,0.05880312275031516
KC1,平衡Logistic,0.8018586687011252,0.01666016095826879,0.0816326530612245,0.015211346785712856,0.18979591836734694,0.017476506909748474,0.2663265306122449,0.017641227863795825,0.5745238095238095,0.11162043130767396,0.654661956714237,0.08050006819634223,0.5717701029610607,0.05734417953037435
PC1,GaussianNB,0.7231907433380085,0.0449771669685851,0.1,0.06497539643901418,0.19130434782608696,0.08249419983047947,0.3,0.09492477039891488,0.23755272505272504,0.13790806007989023,0.285879669006604,0.11805133965650631,0.2994953760113943,0.09781348028903865
PC1,LOC排序基线,0.7171318373071529,0.0365390477031139,0.06521739130434782,0.03694941676516511,0.1782608695652174,0.07791118872878618,0.27391304347826084,0.0616581083657468,0.36666666666666664,0.2010773452317095,0.3603807303807304,0.15375605622639718,0.31501234971486686,0.07948940377501953
PC1,复杂度加权,0.6613394109396914,0.04688897363515166,0.043478260869565216,0.028985507246376812,0.11739130434782608,0.06813135810749657,0.1956521739130435,0.071735470555157,0.18619047619047618,0.12289446133515598,0.20315934065934066,0.11302674200610714,0.18955482752967884,0.07573102072368289
PC1,平衡Logistic,0.8490392706872371,0.027032992062285738,0.12173913043478261,0.06080051293740009,0.23478260869565215,0.06216698721602092,0.36086956521739133,0.07404081028663653,0.27590825840825844,0.0916472052182859,0.2653201549912076,0.07576862317407164,0.2500563747622571,0.06940845022408115
